[2025-03-16T03:50:34.744+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-16T03:50:34.759+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_pipeline.bronze_layer_group.quality_check_raw_data scheduled__2025-03-16T02:00:00+00:00 [queued]>
[2025-03-16T03:50:34.767+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_pipeline.bronze_layer_group.quality_check_raw_data scheduled__2025-03-16T02:00:00+00:00 [queued]>
[2025-03-16T03:50:34.767+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 4
[2025-03-16T03:50:34.779+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): bronze_layer_group.quality_check_raw_data> on 2025-03-16 02:00:00+00:00
[2025-03-16T03:50:34.788+0000] {standard_task_runner.py:72} INFO - Started process 362 to run task
[2025-03-16T03:50:34.795+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'data_pipeline', 'bronze_layer_group.quality_check_raw_data', 'scheduled__2025-03-16T02:00:00+00:00', '--job-id', '111', '--raw', '--subdir', 'DAGS_FOLDER/data_pipeline.py', '--cfg-path', '/tmp/tmpjobqymjm']
[2025-03-16T03:50:34.797+0000] {standard_task_runner.py:105} INFO - Job 111: Subtask bronze_layer_group.quality_check_raw_data
[2025-03-16T03:50:34.853+0000] {task_command.py:467} INFO - Running <TaskInstance: data_pipeline.bronze_layer_group.quality_check_raw_data scheduled__2025-03-16T02:00:00+00:00 [running]> on host c891f3a5df31
[2025-03-16T03:50:34.945+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_pipeline' AIRFLOW_CTX_TASK_ID='bronze_layer_group.quality_check_raw_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-16T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-16T02:00:00+00:00'
[2025-03-16T03:50:34.946+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-03-16T03:50:34.955+0000] {log.py:232} WARNING - 2025-03-16 03:50:34.954 | INFO     | data_pipeline.bronze.validate_raw_data:validate_raw_data:171 - Initial columns: ['VendorID', 'lpep_pickup_datetime', 'lpep_dropoff_datetime', 'store_and_fwd_flag', 'RatecodeID', 'PULocationID', 'DOLocationID', 'passenger_count', 'trip_distance', 'fare_amount', 'extra', 'mta_tax', 'tip_amount', 'tolls_amount', 'ehail_fee', 'improvement_surcharge', 'total_amount', 'payment_type', 'trip_type', 'congestion_surcharge']
[2025-03-16T03:50:35.006+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.006 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:10:52', 'lpep_dropoff_datetime': '2024-03-01 00:26:12', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 129, 'DOLocationID': 226, 'passenger_count': 1.0, 'trip_distance': 1.72, 'fare_amount': 12.8, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 3.06, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 18.36, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.007+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.006 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:22:21', 'lpep_dropoff_datetime': '2024-03-01 00:35:15', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 130, 'DOLocationID': 218, 'passenger_count': 1.0, 'trip_distance': 3.25, 'fare_amount': 17.7, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 20.2, 'payment_type': 2.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.007+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.007 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:45:27', 'lpep_dropoff_datetime': '2024-03-01 01:04:32', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 255, 'DOLocationID': 107, 'passenger_count': 2.0, 'trip_distance': 4.58, 'fare_amount': 23.3, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 3.5, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 32.05, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 2.75, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.007+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.007 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 1, 'lpep_pickup_datetime': '2024-03-01 00:02:00', 'lpep_dropoff_datetime': '2024-03-01 00:23:45', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 181, 'DOLocationID': 71, 'passenger_count': 1.0, 'trip_distance': 0.0, 'fare_amount': 22.5, 'extra': 0.0, 'mta_tax': 1.5, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 24.0, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '56260f22b136f778a46ea05f3ab62ef68d50f9316db5bb2b9600e8447ead7f36'}
[2025-03-16T03:50:35.008+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.008 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:16:45', 'lpep_dropoff_datetime': '2024-03-01 00:23:25', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 95, 'DOLocationID': 135, 'passenger_count': 1.0, 'trip_distance': 1.15, 'fare_amount': 8.6, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 1.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 12.1, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.008+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.008 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:41:20', 'lpep_dropoff_datetime': '2024-03-01 00:57:00', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 80, 'DOLocationID': 7, 'passenger_count': 2.0, 'trip_distance': 6.78, 'fare_amount': 28.9, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 9.42, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 40.82, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.009+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.008 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:47:47', 'lpep_dropoff_datetime': '2024-03-01 01:00:53', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 42, 'DOLocationID': 233, 'passenger_count': 1.0, 'trip_distance': 6.19, 'fare_amount': 26.1, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 0.0, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 31.1, 'payment_type': 2.0, 'trip_type': 1.0, 'congestion_surcharge': 2.5, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.009+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.009 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:44:48', 'lpep_dropoff_datetime': '2024-03-01 01:07:13', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 36, 'DOLocationID': 195, 'passenger_count': 1.0, 'trip_distance': 6.26, 'fare_amount': 28.9, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 9.42, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 40.82, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.009+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.009 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:32:39', 'lpep_dropoff_datetime': '2024-03-01 00:38:57', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 75, 'DOLocationID': 263, 'passenger_count': 1.0, 'trip_distance': 0.81, 'fare_amount': 7.9, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 0.73, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 11.13, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
[2025-03-16T03:50:35.010+0000] {log.py:232} WARNING - 2025-03-16 03:50:35.010 | ERROR    | data_pipeline.bronze.validate_raw_data:validate_record:47 - Missing required field tpep_pickup_datetime for record: {'VendorID': 2, 'lpep_pickup_datetime': '2024-03-01 00:07:41', 'lpep_dropoff_datetime': '2024-03-01 00:14:12', 'store_and_fwd_flag': 'N', 'RatecodeID': 1.0, 'PULocationID': 179, 'DOLocationID': 179, 'passenger_count': 2.0, 'trip_distance': 1.15, 'fare_amount': 8.6, 'extra': 1.0, 'mta_tax': 0.5, 'tip_amount': 2.22, 'tolls_amount': 0.0, 'ehail_fee': nan, 'improvement_surcharge': 1.0, 'total_amount': 13.32, 'payment_type': 1.0, 'trip_type': 1.0, 'congestion_surcharge': 0.0, 'record_hash': '94dfd44d784fe40fa96518c37ee50986ba040c8713bb6160b1cc39cb58a3eb88'}
